Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Stop_Loss_Price,Profit_Target_Price,Gross_Return,Net_Return,Net_PnL_NGN,Days_Held,Exit_Reason
Wema Bank,2018-04-30,2018-05-07,0.88,0.8536,0.8536,0.968,-3.0,-6.01,-6007.75,7,Stop Loss
Dangote Sugar,2018-05-04,2018-05-24,18.15,17.6055,17.6055,19.965,-3.0,-6.01,-6007.75,20,Stop Loss
Cutix,2018-05-28,2018-05-31,2.85,2.7645,2.7645,3.135,-3.0,-6.01,-6007.75,3,Stop Loss
Fcmb,2018-05-28,2018-06-05,2.09,2.299,2.0273,2.299,10.0,6.77,6774.5,8,Profit Target
First HoldCo,2018-05-30,2018-05-31,8.8,9.68,8.536,9.68,10.0,6.77,6774.5,1,Profit Target
United Capital,2018-05-30,2018-06-05,2.9,3.19,2.813,3.19,10.0,6.77,6774.5,6,Profit Target
Nigerian Breweries,2018-05-31,2018-06-01,90.8,88.076,88.076,99.88,-3.0,-6.01,-6007.75,1,Stop Loss
Linkassure,2018-05-31,2018-06-27,0.36,0.3492,0.3492,0.396,-3.0,-6.01,-6007.75,27,Stop Loss
Nigerian Breweries,2018-06-01,2018-06-06,82.4,90.64,79.928,90.64,10.0,6.77,6774.5,5,Profit Target
Japaul Gold Ventures,2018-06-01,2018-06-05,0.22,0.242,0.2134,0.242,10.0,6.77,6774.5,4,Profit Target
Lafarge Africa,2018-06-01,2018-06-06,33.02,36.322,32.0294,36.322,10.0,6.77,6774.5,5,Profit Target
Nigerian Breweries,2018-06-04,2018-06-06,84.72,93.192,82.1784,93.192,10.0,6.77,6774.5,2,Profit Target
Lafarge Africa,2018-07-13,2018-07-20,33.5,32.495,32.495,36.85,-3.0,-6.01,-6007.75,7,Stop Loss
Linkassure,2018-07-18,2018-07-19,0.29,0.319,0.2813,0.319,10.0,6.77,6774.5,1,Profit Target
Lafarge Africa,2018-07-25,2018-08-06,25.59,28.149,24.8223,28.149,10.0,6.77,6774.5,12,Profit Target
First HoldCo,2018-07-25,2018-08-24,9.2,9.65,8.924,10.12,4.89,1.75,1751.38,30,Time Stop
Lafarge Africa,2018-07-26,2018-08-06,26.71,29.381,25.9087,29.381,10.0,6.77,6774.5,11,Profit Target
Japaul Gold Ventures,2018-07-27,2018-07-30,0.26,0.286,0.2522,0.286,10.0,6.77,6774.5,3,Profit Target
Neimeth,2018-07-27,2018-07-30,0.35,0.385,0.3395,0.385,10.0,6.77,6774.5,3,Profit Target
Lafarge Africa,2018-07-30,2018-08-06,26.71,29.381,25.9087,29.381,10.0,6.77,6774.5,7,Profit Target
Coronation Insurance,2018-08-02,2018-08-17,0.39,0.3783,0.3783,0.429,-3.0,-6.01,-6007.75,15,Stop Loss
United Capital,2018-08-07,2018-08-08,2.8,3.08,2.716,3.08,10.0,6.77,6774.5,1,Profit Target
Mutual Benefits Assurance,2018-08-08,2018-08-09,0.31,0.3007,0.3007,0.341,-3.0,-6.01,-6007.75,1,Stop Loss
Mutual Benefits Assurance,2018-08-09,2018-08-10,0.28,0.308,0.2716,0.308,10.0,6.77,6774.5,1,Profit Target
Linkassure,2018-08-10,2018-08-14,0.31,0.3007,0.3007,0.341,-3.0,-6.01,-6007.75,4,Stop Loss
Linkassure,2018-08-15,2018-08-16,0.27,0.297,0.2619,0.297,10.0,6.77,6774.5,1,Profit Target
Abctrans,2018-08-15,2018-09-12,0.36,0.3492,0.3492,0.396,-3.0,-6.01,-6007.75,28,Stop Loss
Linkassure,2018-08-16,2018-08-20,0.29,0.319,0.2813,0.319,10.0,6.77,6774.5,4,Profit Target
Neimeth,2018-08-20,2018-09-11,0.55,0.605,0.5335,0.605,10.0,6.77,6774.5,22,Profit Target
Coronation Insurance,2018-08-20,2018-09-03,0.35,0.385,0.3395,0.385,10.0,6.77,6774.5,14,Profit Target
Coronation Insurance,2018-08-23,2018-09-03,0.34,0.374,0.3298,0.374,10.0,6.77,6774.5,11,Profit Target
UBA,2018-08-24,2018-09-11,8.0,7.76,7.76,8.8,-3.0,-6.01,-6007.75,18,Stop Loss
UBA,2018-08-27,2018-09-11,8.0,7.76,7.76,8.8,-3.0,-6.01,-6007.75,15,Stop Loss
Coronation Insurance,2018-08-27,2018-09-03,0.34,0.374,0.3298,0.374,10.0,6.77,6774.5,7,Profit Target
Ikeja,2018-08-31,2018-10-11,2.27,2.27,2.2019,2.497,0.0,-3.06,-3058.0,41,Time Stop
Aiico,2018-09-03,2018-09-04,0.62,0.682,0.6014,0.682,10.0,6.77,6774.5,1,Profit Target
Lafarge Africa,2018-09-03,2018-09-13,22.82,22.1354,22.1354,25.102,-3.0,-6.01,-6007.75,10,Stop Loss
First HoldCo,2018-09-13,2018-10-02,8.1,8.91,7.857,8.91,10.0,6.77,6774.5,19,Profit Target
